year,country,epsilon,CRJ
1995,USA,0.4302,71.4043
1996,USA,0.4257,85.2152
1997,USA,0.4212,123.6364
1998,USA,0.4167,134.5882
1999,USA,0.4123,107.2188
2000,USA,0.4080,112.5410
2001,USA,0.4038,109.9839
2002,USA,0.3996,109.9032
2003,USA,0.3955,162.3095
2004,USA,0.3915,176.0769
2005,USA,0.3876,146.0213
2006,USA,0.3838,381.9444
2007,USA,0.3801,-178.6410
2008,USA,0.3764,-57.8699
2009,USA,0.3728,-39.1694
2010,USA,0.3693,-40.0989
2011,USA,0.3659,-41.3085
2012,USA,0.3626,-45.3232
2013,USA,0.3593,-61.6303
2014,USA,0.3561,-94.3974
2015,USA,0.3530,-130.7321
2016,USA,0.3500,-181.9500
2017,USA,0.3471,-2394.6667
2018,USA,0.3442,1194.1667
2019,USA,0.3414,324.5909
2020,USA,0.3387,197.3056
2021,USA,0.3361,143.3196
2022,USA,0.3335,74.0638
2023,USA,0.3310,73.1579
2024,USA,0.2000,69.6000
1995,GBR,0.5423,8.4080
1996,GBR,0.5374,10.7030
1997,GBR,0.5325,13.2391
1998,GBR,0.5277,12.7658
1999,GBR,0.5230,10.7188
2000,GBR,0.5183,11.2008
2001,GBR,0.5137,10.6990
2002,GBR,0.5082,11.0458
2003,GBR,0.5038,10.2425
2004,GBR,0.4994,9.4139
2005,GBR,0.4951,9.4834
2006,GBR,0.4908,9.7041
2007,GBR,0.4866,9.0349
2008,GBR,0.4825,8.5285
2009,GBR,0.4785,11.3119
2010,GBR,0.4746,11.0364
2011,GBR,0.4708,13.2322
2012,GBR,0.4671,12.4564
2013,GBR,0.4635,13.2951
2014,GBR,0.4599,14.7474
2015,GBR,0.4565,12.4681
2016,GBR,0.4531,13.0457
2017,GBR,0.4498,13.4463
2018,GBR,0.4466,12.3147
2019,GBR,0.4434,12.1949
2020,GBR,0.4403,12.1453
2021,GBR,0.4373,12.2361
2022,GBR,0.4343,12.2688
2023,GBR,0.4314,12.3103
2024,GBR,0.2400,12.4130
