Downloaded from wid.world on 21-04-2026 at 16:31:12于 2026 年 4 月 21 日 16 时 31 分 12 秒从 wid.world 下载
Percentile ;Year ;"shweal_z_CH百分位数；年份；“shweal_z_CH”Percentile ; Year ; " shweal_z_CH percentile; year; “ shweal_z_CH”Percentile ; Year ; " shweal_z_CH percentile; year; “ shweal_z_CH” Percentile ; Year ; " shweal_z_CH percentile; year; “ shweal_z_CH”
个人净财富
前10% | 份额 | 成人 | 等分
瑞士";"shweal_z_UY   瑞士";"shweal_z_UYSwitzerland " Switzerland " shweal_z_UYSwitzerland " Switzerland " shweal_z_UYSwitzerland " Switzerland " shweal_z_UY
个人净财富
前10% | 份额 | 成人 | 等分
乌拉圭";"shweal_z_KI   乌拉圭";"shweal_z_KIUruguay " shweal_z_KI Uruguay " shweal_z_KIUruguay " shweal_z_KI Uruguay " shweal_z_KIUruguay " shweal_z_KI Uruguay " shweal_z_KI
个人净财富
前10% | 份额 | 成人 | 等分
基里巴斯";"shweal_z_SY   基里巴斯";"shweal_z_SYKiribati " Kiribati " shweal_z_SYKiribati " Kiribati " shweal_z_SYKiribati " Kiribati " shweal_z_SY
个人净财富
前10% | 份额 | 成人 | 等分
叙利亚";"shweal_z_MW   叙利亚";"shweal_z_MWSyria " shweal_z_MW Syria " shweal_z_MW
个人净财富
前10% | 份额 | 成人 | 等分
马拉维";"shweal_z_MN   马拉维";"shweal_z_MNMalawi " shweal_z_MN   Malawi " shweal_z_MN
个人净财富
前10% | 份额 | 成人 | 等分
蒙古";"shweal_z_SK   蒙古";"shweal_z_SKMongolia " shweal_z_SK  Mongolia " shweal_z_SK
个人净财富
前10% | 份额 | 成人 | 等分
斯洛伐克";"shweal_z_LI   斯洛伐克";"shweal_z_LISlovakia " shweal_z_LI Slovak " shweal_z_LI
个人净财富
前10% | 份额 | 成人 | 等分
列支敦士登";"shweal_z_ER   列支敦士登";"shweal_z_ER
个人净财富
前10% | 份额 | 成人 | 等分
厄立特里亚";"shweal_z_KE   厄立特里亚";"shweal_z_KEEritrea " Eritrea " shweal_z_KE
个人净财富
前10% | 份额 | 成人 | 等分
肯尼亚";"shweal_z_IE   肯尼亚";"shweal_z_IE
个人净财富
前10% | 份额 | 成人 | 等分
爱尔兰";"shweal_z_PA   爱尔兰";"shweal_z_PA
个人净财富
前10% | 份额 | 成人 | 等分
巴拿马";"shweal_z_AE   巴拿马";"shweal_z_AE
个人净财富
前10% | 份额 | 成人 | 等分
阿拉伯联合酋长国";"shweal_z_LT   United Arab Emirates " shweal_z_LT
个人净财富
前10% | 份额 | 成人 | 等分
立陶宛";"shweal_z_DE   立陶宛";"shweal_z_DE
个人净财富
前10% | 份额 | 成人 | 等分
德国";"shweal_z_JP   德国";"shweal_z_JP
个人净财富
前10% | 份额 | 成人 | 等分
日本";"shweal_z_CN   日本";"shweal_z_CN
个人净财富
前10% | 份额 | 成人 | 等分
中国";"shweal_z_KR   中国";"shweal_z_KR
个人净财富
前10% | 份额 | 成人 | 等分
韩国";"shweal_z_IN
个人净财富
前10% | 份额 | 成人 | 等分
印度";"shweal_z_IT
个人净财富
前10% | 份额 | 成人 | 等分
意大利";"shweal_z_CA
个人净财富
前10% | 份额 | 成人 | 等分
加拿大";"shweal_z_SA
个人净财富
前10% | 份额 | 成人 | 等分
沙特阿拉伯";"shweal_z_ES
个人净财富
前10% | 份额 | 成人 | 等分
西班牙";"shweal_z_NL
个人净财富
前10% | 份额 | 成人 | 等分
荷兰";"shweal_z_US
个人净财富
前10% | 份额 | 成人 | 等分
美国";"shweal_z_NZ
个人净财富
前10% | 份额 | 成人 | 等分
新西兰";"shweal_z_NO
个人净财富
前10% | 份额 | 成人 | 等分
挪威";"shweal_z_GB
个人净财富
前10% | 份额 | 成人 | 等分
英国";"shweal_z_IL
个人净财富
前10% | 份额 | 成人 | 等分
以色列";"shweal_z_BR
个人净财富
前10% | 份额 | 成人 | 等分
巴西";"shweal_z_SE
个人净财富
前10% | 份额 | 成人 | 等分
瑞典";"shweal_z_RU
个人净财富
前10% | 份额 | 成人 | 等分
俄罗斯";"shweal_z_FR
个人净财富
前10% | 份额 | 成人 | 等分
法国";"shweal_z_ZA
个人净财富
前10% | 份额 | 成人 | 等分
南非";"shweal_z_ID
个人净财富
前10% | 份额 | 成人 | 等分
印度尼西亚";"shweal_z_SG   印度尼西亚";"shweal_z_SG
个人净财富
前10% | 份额 | 成人 | 等分
新加坡";"shweal_z_BE
个人净财富
前10% | 份额 | 成人 | 等分
比利时";"shweal_z_AU
个人净财富
前10% | 份额 | 成人 | 等分
澳大利亚";"shweal_z_CZ
个人净财富
前10% | 份额 | 成人 | 等分
捷克共和国";"shweal_z_MX
个人净财富
前10% | 份额 | 成人 | 等分
墨西哥";"shweal_z_FI
个人净财富
前10% | 份额 | 成人 | 等分
芬兰";"shweal_z_AR
个人净财富
前10% | 份额 | 成人 | 等分
阿根廷";"shweal_z_MY
个人净财富
前10% | 份额 | 成人 | 等分
马来西亚";"shweal_z_PT
个人净财富
前10% | 份额 | 成人 | 等分
葡萄牙";"shweal_z_VN
个人净财富
前10% | 份额 | 成人 | 等分
越南";"shweal_z_CU
个人净财富
前10% | 份额 | 成人 | 等分
古巴";"shweal_z_AL
个人净财富
前10% | 份额 | 成人 | 等分
阿尔巴尼亚";"shweal_z_IQ
个人净财富
前10% | 份额 | 成人 | 等分
伊拉克";"shweal_z_DK
个人净财富
前10% | 份额 | 成人 | 等分
丹麦";"shweal_z_PL
个人净财富
前10% | 份额 | 成人 | 等分
波兰";"shweal_z_MA
个人净财富
前10% | 份额 | 成人 | 等分
摩洛哥";"shweal_z_GE
个人净财富
前10% | 份额 | 成人 | 等分
格鲁吉亚"
p90p100;1995;0.5660000000000001;0.7777000000000001;0.5779000000000001;0.6644;0.7302000000000001;0.5857;0.4174;0.5683;0.7111000000000001;0.6449;0.6914;0.6807000000000001;0.675;0.5701;0.5507000000000001;0.5774;0.4091;0.6457;0.5179;0.4472;0.5675;0.6423;0.5827;0.5925;0.6712;0.5781000000000001;0.5069;0.5255000000000001;0.6284000000000001;0.7147;0.6129;0.5257000000000001;0.5378000000000001;0.862;0.6052000000000001;0.5875;0.5263;0.5638000000000001;0.5615;0.6679;0.5293;0.6355000000000001;0.6342;0.5848;0.5988;0.6401;0.5662;0.6704;0.5226000000000001;0.5967;0.6095;0.5837
p90p100;1996;0.5799000000000001;0.7778;0.5784;0.6643;0.73;0.5847;0.4174;0.6028;0.6577000000000001;0.652;0.6899000000000001;0.6893;0.6752;0.5685;0.5591;0.5800000000000001;0.43;0.6453;0.5191;0.4547;0.5694;0.6415000000000001;0.5741;0.5781000000000001;0.6732;0.5756;0.5079;0.5405;0.6292;0.7151000000000001;0.6161;0.5445;0.5688;0.8648;0.6081;0.5881000000000001;0.5265000000000001;0.5638000000000001;0.5617;0.6673;0.5368;0.6354000000000001;0.6356;0.5836;0.5989;0.6403;0.5662;0.6705;0.5257000000000001;0.5964;0.6094;0.5946
p90p100;1997;0.5792;0.7778;0.5789000000000001;0.6653;0.7303000000000001;0.5836;0.4175;0.5701;0.6285000000000001;0.6615;0.6905;0.6815;0.6774;0.5671;0.5651;0.5783;0.4464;0.6429;0.5229;0.4626;0.5717;0.6478;0.5808;0.5822;0.68;0.5778;0.5091;0.5653;0.6302;0.7150000000000001;0.6218;0.5922000000000001;0.5823;0.8540000000000001;0.5937;0.5939;0.5269;0.5630000000000001;0.5611;0.6674;0.5421;0.6352;0.6403;0.5853;0.5996;0.6414000000000001;0.5668000000000001;0.6996;0.5509000000000001;0.5964;0.6094;0.6034
p90p100;1998;0.5742;0.7778;0.5794;0.6655;0.7298;0.5830000000000001;0.4178;0.5704;0.5995;0.6629;0.6947;0.6887;0.6944;0.5652;0.5726;0.5791000000000001;0.4591;0.6399;0.5274;0.4711;0.5730000000000001;0.6527000000000001;0.5859;0.5795;0.6864;0.5809000000000001;0.5075000000000001;0.5668000000000001;0.6315000000000001;0.7149;0.6236;0.6176;0.5953;0.8452000000000001;0.5854;0.5946;0.5263;0.5640000000000001;0.5621;0.6675;0.559;0.6352;0.6193000000000001;0.5872;0.5995;0.6401;0.5671;0.6999000000000001;0.5505;0.5977;0.6098;0.6318
